feis,age,girlsTotal,boysTotal
2015,37,6,0
2015,38,6,2
2015,39,3,0
2015,40,5,0
2015,41,0,2
2015,42,3,1
2015,43,4,1
2015,44,2,0
2015,45,1,0
2015,46,2,0
2015,47,1,1
2015,48,1,0
2015,49,2,0
2015,50,0,0
2015,51,2,0
2015,52,1,1
2015,53,0,0
2015,54,0,0
2015,55,1,0
2015,56,0,0
2015,57,0,0
2016,3,0,0
2016,4,0,0
2016,5,6,1
2016,6,12,1
2016,7,19,1
2016,8,17,0
2016,9,26,0
2016,10,26,6
2016,11,24,4
2016,12,29,0
2016,13,27,3
2016,14,19,2
2016,15,18,0
2016,16,15,0
2016,17,5,2
2016,18,10,1
2016,19,18,1
2016,20,17,0
2016,21,14,2
2016,22,12,2
2016,23,16,1
2016,24,15,1
2016,25,24,1
2016,26,32,2
2016,27,23,3
2016,28,12,3
2016,29,10,2
2016,30,12,2
2016,31,10,0
2016,32,11,0
2016,33,8,2
2016,34,7,2
2016,35,9,0
2016,36,8,2
2016,37,2,0
2016,38,7,0
2016,39,5,1
2016,40,6,0
2016,41,3,0
2016,42,3,1
2016,43,1,0
2016,44,3,1
2016,45,2,0
2016,46,0,0
2016,47,3,0
2016,48,1,0
2016,49,1,0
2016,50,2,0
2016,51,0,0
2016,52,1,0
2016,53,0,0
2016,54,0,0
2016,55,0,0
2016,56,1,0
2016,57,0,0
2017,3,0,0
2017,4,0,0
2017,5,2,0
2017,6,13,0
2017,7,23,2
2017,8,37,1
2017,9,38,1
2017,10,29,2
2017,11,33,5
2017,12,34,2
2017,13,27,0
2017,14,33,3
2017,15,17,2
2017,16,14,0
2017,17,11,0
2017,18,10,2
2017,19,13,1
2017,20,17,0
2017,21,15,1
2017,22,8,3
2017,23,18,2
2017,24,22,3
2017,25,13,2
2017,26,23,2
2017,27,23,2
2017,28,21,2
2017,29,20,1
2017,30,12,2
2017,31,10,2
2017,32,11,0
2017,33,10,0
2017,34,9,2
2017,35,4,0
2017,36,5,1
2017,37,8,0
2017,38,2,3
2017,39,6,0
2017,40,2,1
2017,41,6,0
2017,42,3,1
2017,43,0,3
2017,44,1,0
2017,45,5,0
2017,46,0,0
2017,47,2,0
2017,48,3,0
2017,49,1,0
2017,50,1,0
2017,51,1,0
2017,52,0,0
2017,53,0,0
2017,54,1,1
2017,55,0,0
2017,56,0,0
2017,57,1,0
